檢核點代號,檢核點名稱
0,<1.1>自我準備及備物_照鏡子
1,<1.2>自我準備及備物_觸碰頭髮
10,<2.1>全包式防護衣_觸碰全包式防護衣
11,<2.2>全包式防護衣_檢查完整性
12,<2.3>全包式防護衣_問答：全包式防護衣是否破損？
13,<2.4>全包式防護衣_觸碰拉鍊
14,<2.5>全包式防護衣_觸碰雙面膠
20,<3.1>鞋套及髮帽_觸碰鞋套
21,<3.2>鞋套及髮帽_觸碰髮帽
22,<3.3>鞋套及髮帽_照鏡子
23,<3.4>鞋套及髮帽_問答：頭髮是否完全包覆？
30,<4.1>手術手套_觸碰手術手套
31,<4.2>手術手套_問答：持有全新的手術手套時該做什麼？
32,<4.3>手術手套_問答：如何檢查全新的手術手套？
33,<4.4>手術手套_問答：手術手套是否破損？
34,<4.5>手術手套_圖片問答：正確戴法為何？
40,<5.1>3M膠帶_觸碰3M膠帶
41,<5.2>3M膠帶_觸碰手套及防護衣交界處
50,<6.1>外層防護衣_觸碰外層防護衣
51,<6.2>外層防護衣_檢查完整性
52,<6.3>外層防護衣_問答：外層防護衣是否破損？
53,<6.4>外層防護衣_觸碰魔鬼氈
54,<6.5>外層防護衣_觸碰綁帶
60,<7.1>外層手套_觸碰外層手套
61,<7.2>外層手套_持有全新的外層手套時該做什麼？
62,<7.3>外層手套_問答：如何檢查全新的外層手套？
63,<7.4>外層手套_問答：外層手套是否破損？
64,<7.5>外層手套_圖片問答：正確戴法為何？
70,<8.1>N95口罩_觸碰N95口罩
71,<8.2>N95口罩_檢查完整性
72,<8.3>N95口罩_問答：N95口罩是否破損？
73,<8.4>N95口罩_圖片問答：正確戴法為何？
74,<8.5>N95口罩_壓鼻樑鐵片
75,<8.6>N95口罩_影片問答：何者為氣密測試？
80,<9.1>護目鏡_觸碰護目鏡
90,<10.1>全包式防護衣帽子_觸碰全包式防護衣帽子
